city,district,page_slug,image_path
서울,강남구,seoul/gangnam,public/images/regions/seoul/gangnam.webp
서울,송파구,seoul/songpa,public/images/regions/seoul/songpa.webp
부산,해운대구,busan/haeundae,public/images/regions/busan/haeundae.webp
대구,수성구,daegu/suseong,public/images/regions/daegu/suseong.webp
경기,수원시,gyeonggi/suwon,public/images/regions/gyeonggi/suwon.webp
서울,마포구,seoul/mapo,public/images/regions/seoul/mapo.webp
서울,관악구,seoul/gwanak,public/images/regions/seoul/gwanak.webp
경기,성남시,gyeonggi/seongnam,public/images/regions/gyeonggi/seongnam.webp
경기,용인시,gyeonggi/yongin,public/images/regions/gyeonggi/yongin.webp
인천,연수구,incheon/yeonsu,public/images/regions/incheon/yeonsu.webp
서울,영등포구,seoul/yeongdeungpo,public/images/regions/seoul/yeongdeungpo.webp
서울,노원구,seoul/nowon,public/images/regions/seoul/nowon.webp
경기,고양시,gyeonggi/goyang,public/images/regions/gyeonggi/goyang.webp
경기,화성시,gyeonggi/hwaseong,public/images/regions/gyeonggi/hwaseong.webp
인천,남동구,incheon/namdong,public/images/regions/incheon/namdong.webp
서울,서초구,seoul/seocho,public/images/regions/seoul/seocho.webp
서울,은평구,seoul/eunpyeong,public/images/regions/seoul/eunpyeong.webp
경기,부천시,gyeonggi/bucheon,public/images/regions/gyeonggi/bucheon.webp
경기,안양시,gyeonggi/anyang,public/images/regions/gyeonggi/anyang.webp
인천,부평구,incheon/bupyeong,public/images/regions/incheon/bupyeong.webp
세종,세종시,sejong/sejong,public/images/regions/sejong/sejong.webp
대전,유성구,daejeon/yuseong,public/images/regions/daejeon/yuseong.webp
광주,서구,gwangju/seo,public/images/regions/gwangju/seo.webp
울산,남구,ulsan/nam,public/images/regions/ulsan/nam.webp
경남,창원시,gyeongnam/changwon,public/images/regions/gyeongnam/changwon.webp
충북,청주시,chungbuk/cheongju,public/images/regions/chungbuk/cheongju.webp
충남,천안시,chungnam/cheonan,public/images/regions/chungnam/cheonan.webp
전북,전주시,jeonbuk/jeonju,public/images/regions/jeonbuk/jeonju.webp
경북,포항시,gyeongbuk/pohang,public/images/regions/gyeongbuk/pohang.webp
경남,김해시,gyeongnam/gimhae,public/images/regions/gyeongnam/gimhae.webp
서울,강서구,seoul/gangseo,public/images/regions/seoul/gangseo.webp
경기,하남시,gyeonggi/hanam,public/images/regions/gyeonggi/hanam.webp
경기,남양주시,gyeonggi/namyangju,public/images/regions/gyeonggi/namyangju.webp
